case,cores,status,singlecore_makespan,makespan,speedup,added_copy_bytes,v1_makespan,gain_over_v1,selected_source,generation_seconds,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_020,3,ok,532746,181764,2.930976430976431,0,1272914,7.00311392795053,v4_idblock_4,,8.334,,,,,,,
case_020,4,ok,532746,139273,3.8251922483180514,0,1302985,9.355618102575518,v4_idblock_4,,8.001,,,,,,,
case_020,5,ok,532746,115022,4.631687851019805,0,1280555,11.133131053189825,v4_idblock_4,,8.043,,,,,,,
case_021,2,ok,6567937,3215360,2.0426754702428345,35618816,4744436,1.4755535927547772,v4_idblock_1,,9.737,,,,,,,
case_021,3,ok,6567937,2230404,2.944729744028436,43739136,3235596,1.4506770970640297,v4_idblock_1,,9.747,,,,,,,
case_021,4,ok,6567937,1738879,3.7771098506566587,53135360,2636699,1.5163211471298463,v4_idblock_1,,9.55,,,,,,,
case_021,5,ok,6567937,1387810,4.732590916624034,59209728,2272159,1.6372262773722628,v4_idblock_1,,10.228,,,,,,,
case_022,2,ok,56780,39773,1.4276016393030448,144620,59693,1.5008422799386518,v4_idblock_8,,1.669,,,,,,,
case_022,3,ok,56780,34154,1.662469988873924,24580,61001,1.7860572700122972,v3_seed,,1.616,,,,,,,
case_022,4,ok,56780,32089,1.7694537068777463,392358,57947,1.8058213094830005,v4_idblock_2,,1.669,,,,,,,
case_022,5,ok,56780,29694,1.9121708089176264,427478,54113,1.8223546844480367,v4_idblock_2,,1.773,,,,,,,
case_023,2,ok,122614,83581,1.4670080520692501,826512,105168,1.258276402531676,v4_idblock_1,,1.141,,,,,,,
case_023,3,ok,122614,62172,1.9721739689892557,993034,98794,1.5890432992343821,v4_idblock_1,,1.103,,,,,,,
case_023,4,ok,122614,52834,2.3207404322973844,965658,101015,1.9119317106408753,v4_idblock_1,,1.168,,,,,,,
case_023,5,ok,122614,47103,2.6031038362736982,1041062,101015,2.1445555484788654,v4_idblock_1,,1.168,,,,,,,
case_024,2,ok,2555343,1335245,1.9137633917370969,396856,2582574,1.9341574018251333,v4_idblock_1,,8.977,,,,,,,
case_024,3,ok,2555343,1004417,2.5441056851885224,596276,2598587,2.5871595164159906,v4_idblock_1,,9.391,,,,,,,
case_024,4,ok,2555343,797557,3.2039628515579452,728560,2603177,3.2639385022010967,v4_idblock_1,,9.403,,,,,,,
case_024,5,ok,2555343,696946,3.666486356188284,531552,2629186,3.772438610738852,v4_idblock_1,,8.772,,,,,,,
case_025,2,ok,4863026,2432402,1.999269035299264,35328,3919025,1.611174879810163,v4_idblock_1,,61.97,,,,,,,
case_025,3,ok,4863026,1623962,2.994544207315196,55296,2804599,1.7270102379242864,v4_idblock_4,,55.831,,,,,,,
case_025,4,ok,4863026,1219242,3.9885650264672643,82944,2422363,1.9867778505005569,v4_idblock_2,,52.743,,,,,,,
case_025,5,ok,4863026,975334,4.986010945993885,110592,2135532,2.189539173247318,v4_idblock_2,,49.282,,,,,,,
case_026,2,ok,99203,60944,1.6277730375426622,402636,121101,1.9870865056445262,v4_idblock_2,,0.604,,,,,,,
case_026,3,ok,99203,45463,2.1820601368145525,530996,110610,2.4329674680509425,v4_idblock_2,,0.656,,,,,,,
case_026,4,ok,99203,40303,2.461429670247872,612516,110610,2.7444607101208347,v4_idblock_2,,0.69,,,,,,,
case_026,5,ok,99203,38471,2.5786436536611994,648456,110610,2.8751527124327416,v4_idblock_2,,0.709,,,,,,,
case_027,2,ok,2363952,1120962,2.10886006840553,1744896,2153120,1.9207787596724957,v4_idblock_2,,2.282,,,,,,,
case_027,3,ok,2363952,839776,2.8149792325572536,2899968,2144240,2.55334755934916,v4_idblock_2,,2.363,,,,,,,
case_027,4,ok,2363952,559196,4.227412213249022,1843200,2107619,3.7690165881014885,v4_idblock_2,,2.365,,,,,,,
