case,cores,base_best,refine_speedup_increment,components_speedup_increment,affinity_speedup_increment,chains_speedup_increment
case_072,4,6291936,0.009475026758007932,0.0,0.20185680550593954,0.0
case_072,5,5411881,0.13608629966112407,0.0,0.4092655213327596,0.0
case_073,2,5625572,0.0002625354997867202,0.0,0.0,0.0
case_073,3,4357398,0.17181430094948258,0.0,0.0,0.0
case_073,4,3777105,0.20736873290767122,0.0,0.0,0.0
case_073,5,3552693,0.21230615742856473,0.0,0.0,0.0
case_074,2,989215,0.002013752724399742,0.0,0.2540876346612122,0.0
case_074,3,677117,0.01475250033716291,0.0,0.40930397057268975,0.0
case_074,4,619731,0.007215588002679407,0.0,1.1111880259511877,0.0
case_074,5,556647,0.013535381729845586,0.0,1.548766183812373,0.0
case_075,2,1358850,0.0008729211432494388,0.0,0.0,0.0
case_075,3,1288773,0.0006740283645454426,0.0,0.0,0.19242860747679003
case_075,4,1216451,0.0006892716105004748,0.0,0.0,0.46187716451960226
case_075,5,1080666,0.0001123576690980066,0.0,0.0,0.6932890492489179
case_076,2,4052690,0.011789685365076297,0.0,0.4797108966409962,0.0
case_076,3,3222796,0.0017625116268666918,0.0,1.0765495718343019,0.0
case_076,4,3136399,0.0011695583805448884,0.0,2.058693568719986,0.0
case_076,5,3179793,0.0021660493687405413,0.0,3.0171883612281287,0.0
case_077,2,307998,0.0,0.0,0.3831720076677685,0.0
case_077,3,435292,0.0020321751061862514,1.4343996054585386,0.35696924019618903,0.0
case_077,4,265142,0.041757333414329745,1.4632839702432139,0.5016007968716512,0.0
case_077,5,319710,0.05485598888545806,2.1151816655575404,0.5648283766044031,0.0
case_078,2,1122919,0.001651128258719048,0.0,0.0776970504510488,0.0
case_078,3,829390,0.04052674752180696,0.0,0.0,0.0
case_078,4,669007,0.015884574460057976,0.0,0.2581557613837746,0.0
case_078,5,657063,0.19946351270002038,0.0,0.008840386941946665,0.0
case_079,2,15346109,0.00019490042864456214,0.0,0.061252672552618126,0.0
case_079,3,10397163,0.0026082278717094454,0.0,0.12679893208560555,0.0
case_079,4,9208237,0.0,0.0,0.7674410558706275,0.0
case_079,5,7857722,0.0006262358647841637,0.0,1.1685810294311647,0.0
case_080,2,212151,0.08535042196295173,0.0,0.5395808496820764,0.0
case_080,3,177497,0.16230057086081673,0.0,1.1037399963133157,0.0
case_080,4,198259,0.13152223531475937,0.0,1.3068770716189566,0.0
case_080,5,209056,0.09215777023402505,0.0,1.13487693782775,0.0
case_081,2,92252,0.006248523604950984,0.0,0.32326735777705906,0.0
case_081,3,80173,0.007896834511951,0.0,1.0210979674054617,0.0
case_081,4,60466,0.025626364663898116,0.0,1.2983235575529957,0.0
case_081,5,60466,0.025626364663898116,1.0685946746296624,1.300992820198791,0.0
case_082,2,708113,0.0013289938859155637,0.0,0.0,0.0
case_082,3,627783,0.0016305983385762612,0.0,0.0,0.12376685801703502
case_082,4,595266,0.002264973815132576,0.0,0.0,0.0
case_082,5,576738,0.0015779201677037502,0.0,0.0,0.0
case_083,2,678451,0.005862462808789104,0.0,0.12778643776543208,0.0
case_083,3,556266,0.0019474866649604738,0.0,0.1599785874837869,0.0
case_083,4,610371,0.08335750774957562,0.0,0.5342260126155198,0.0
case_083,5,569149,0.012858830011750255,0.0,0.5192904926253741,0.0
case_084,2,1277174,0.0003028717606414766,0.0,0.033065981534657674,0.0
case_084,3,844301,0.0031937813191418307,0.0,0.0,0.0
case_084,4,654553,0.0389298833941365,0.0,0.0,0.0
case_084,5,509368,0.006483489542658205,0.0,0.051163441841143964,0.0
case_085,2,3126586,0.00047177289975497416,0.0,0.0,0.0
case_085,3,2756013,0.0002720314773452248,0.0,0.0,0.06190117007925289
