case,cores,a_new_makespan,b_makespan,b_speedup,b_added_bytes,b_copy_amplification,b_active,b_groups,b_source,b_peak_L1,b_peak_UB,b_calls,b_valid,b_errors,b_cycle_errors,l2_makespan,l2_speedup,paired_makespan,cache_gain,paired_hit_rate,selected_hit_rate,selected_added_bytes,selected_source,l2_extra_search_gain,l2_calls,l2_errors
case_011,5,46880,46880,3.9397824232081913,1081344,2.7837837837837838,4,172,fixed_4,69632,0,72,60,12,0,46880,3.9397824232081913,46880,1.0,0.0,0.0,1081344,b_candidate_local1_fixed_4_merge_0_1,1.0,73,12
case_012,2,30058,39013,1.5145720657216826,255682,1.4607729708883435,2,243,local1_fixed_4_move_11_0_0,28224,24582,72,58,14,10,38968,1.5163210839663313,39012,1.0000256331385216,0.106823870087522,0.106823870087522,255682,local1_paired_b_plan_split_3_1,1.001129131595155,73,16
case_012,3,20661,26191,2.256042151884235,132992,1.2396692725509915,3,63,local2_a_selected_split_0_1,28736,26628,72,52,20,8,26190,2.2561282932416953,26191,1.0,0.02343480758184951,0.02343480758184951,132992,local1_paired_b_plan_merge_40_41,1.0000381825124094,73,16
case_012,4,15863,26397,2.2384361859302193,173320,1.3123456923614791,4,60,local1_a_selected_move_3_1_0,28736,26628,72,54,18,6,24221,2.4395359398868752,26396,1.0000378845279587,0.028517543677851236,0.03194151398645927,175372,local1_paired_b_plan_move_4_2_0,1.0897981090788984,73,19
case_012,5,13406,26597,2.221603940294018,173320,1.3123456923614791,5,60,local1_a_selected_move_3_4_0,28736,26628,72,60,12,0,24231,2.438529156865173,26597,1.0,0.028517543677851236,0.03194151398645927,175372,local1_paired_b_plan_move_4_1_7,1.0976435145062111,73,14
case_013,2,132198,132198,1.9966187083011846,8192,1.0032414910858996,2,82,fixed_24,20480,0,72,72,0,0,132198,1.9966187083011846,132198,1.0,0.0,0.0,8192,b_candidate_fixed_4,1.0,73,6
case_013,3,88351,88351,2.98750438591527,16384,1.006482982171799,3,123,fixed_16,20480,0,72,72,0,0,88351,2.98750438591527,88351,1.0,0.0,0.0,16384,b_candidate_fixed_4,1.0,73,6
case_013,4,66982,66982,3.9405959810098237,24576,1.0097244732576987,4,492,fixed_4,20480,0,72,66,6,0,66982,3.9405959810098237,66982,1.0,0.0,0.0,24576,b_candidate_fixed_8,1.0,73,0
case_013,5,54363,54363,4.855305998565201,32768,1.012965964343598,5,492,fixed_4,20480,0,72,66,6,0,54176,4.872065121086828,54363,1.0,0.0,0.00796812749003984,32768,local2_b_candidate_fixed_8_split_1_1,1.0034517129356173,73,0
case_014,2,8876630,8958679,1.9755843467546945,77130512,8.765280476484836,2,2232,local1_fixed_16_move_61_1_0,524016,770,44,34,10,6,8921063,1.9839144729725595,8922693,1.0040330873201622,0.3747352103485287,0.3747352103485287,77130512,local1_paired_b_plan_split_61_2,1.0001827136519492,45,6
