case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_045,2,125614,63059,1.99200748505368,0,fixed_4,11.989,,,,,,,
case_045,3,125614,44660,2.8126735333631885,0,fixed_8,11.66,,,,,,,
case_045,4,125614,37053,3.390116859633498,0,fixed_8,11.616,,,,,,,
case_045,5,125614,34994,3.589586786306224,0,fixed_4,12.177,,,,,,,
case_046,2,276455,150352,1.8387184739810578,3553184,local1_a_selected_split_0_1,6.789,,,,,,,
case_046,3,276455,132915,2.0799383064364445,4050240,local1_fixed_1_move_4_1_0,6.224,,,,,,,
case_046,4,276455,106184,2.6035466736984856,4579360,local1_a_selected_move_42_0_0,7.21,,,,,,,
case_046,5,276455,106184,2.6035466736984856,4579360,local1_a_selected_move_42_0_0,7.069,,,,,,,
case_047,2,326508,215262,1.5167934888647323,869574,fixed_4,172.309,,,,,,,
case_047,3,326508,209325,1.5598136868505912,1429452,fixed_4,150.242,,,,,,,
case_047,4,326508,206889,1.5781796035555298,1755986,fixed_4,162.526,,,,,,,
case_047,5,326508,205158,1.5914953353025474,2009624,fixed_4,157.533,,,,,,,
case_048,2,222220,150276,1.4787457744416939,892262,fixed_1,14.864,,,,,,,
case_048,3,222220,135690,1.637703589063306,1118538,fixed_1,14.508,,,,,,,
case_048,4,222220,120337,1.846647332075754,1192206,local1_fixed_1_swap_0_5,16.083,,,,,,,
case_048,5,222220,100325,2.2150012459506603,1064404,local1_a_selected_swap_0_7,14.963,,,,,,,
case_049,2,196276,137913,1.4231870817109338,628798,local1_fixed_8_merge_501_502,43.609,,,,,,,
case_049,3,196276,121826,1.6111174954443221,1755192,local1_fixed_4_swap_0_0,46.425,,,,,,,
case_049,4,196276,113164,1.7344385140150578,1975850,local1_fixed_4_merge_996_1003,49.412,,,,,,,
case_049,5,196276,107178,1.8313086640915113,2092300,local1_fixed_4_merge_994_1003,48.874,,,,,,,
case_050,2,149690,98961,1.5126160810824467,552730,local1_fixed_8_merge_546_547,44.78,,,,,,,
case_050,3,149690,85281,1.7552561531876971,719356,local1_fixed_8_merge_546_547,45.428,,,,,,,
case_050,4,149690,81132,1.845017995365577,840606,local1_fixed_8_merge_554_555,43.56,,,,,,,
case_050,5,149690,80165,1.8672737478949666,1570256,fixed_4,53.813,,,,,,,
case_051,2,607628,319230,1.903417598596623,394084,fixed_1,9.033,,,,,,,
case_051,3,607628,239805,2.5338420800233523,591348,local1_fixed_1_swap_0_15,10.662,,,,,,,
case_051,4,607628,194257,3.1279593528161147,722708,local1_fixed_1_swap_0_3,10.963,,,,,,,
case_051,5,607628,171113,3.5510335275519687,526008,fixed_1,10.188,,,,,,,
case_052,2,180301,96382,1.8706916229171422,1078496,local1_adaptive_reuse_72_merge_6_7,8.561,,,,,,,
case_052,3,180301,78412,2.2994057032086928,1295496,local1_fixed_2_move_412_1_105,9.183,,,,,,,
case_052,4,180301,60035,3.003264762222037,2042632,local1_adaptive_reuse_24_move_1_0_0,11.412,,,,,,,
case_052,5,180301,54289,3.321133194569802,1358194,local1_fixed_2_move_391_4_64,9.936,,,,,,,
case_053,2,1472686,752819,1.9562285223938292,6103358,local1_a_selected_move_9_0_0,143.026,,,,,,,
case_053,3,1472686,531222,2.772260937988261,6268248,local1_a_selected_move_3_0_0,136.383,,,,,,,
case_053,4,1472686,499360,2.949146908042294,6087544,local1_a_selected_move_1_3_0,139.158,,,,,,,
case_053,5,1472686,510618,2.884124727291243,7257418,local1_a_selected_move_240_0_9,142.915,,,,,,,
case_054,2,815051,733161,1.111694430009234,840102,local1_fixed_16_move_966_0_586,209.434,,,,,,,
case_054,3,815051,702326,1.1605023877800338,4624260,local1_fixed_4_split_3842_2,226.845,,,,,,,
case_054,4,815051,629719,1.2943090489567568,10510422,local1_fixed_1_move_15373_3_1705,274.749,,,,,,,
case_054,5,815051,577017,1.4125251075791527,11141064,local1_fixed_1_swap_0_1,280.795,,,,,,,
case_055,2,118835,76616,1.551046778740733,49240,local1_a_selected_merge_0_2,8.911,,,,,,,
case_055,3,118835,66631,1.783479161351323,786250,fixed_2,10.225,,,,,,,
case_055,4,118835,64285,1.8485649840553784,1561558,fixed_1,11.157,,,,,,,
case_055,5,118835,62151,1.9120368135669579,553236,local1_a_selected_move_6_1_0,9.916,,,,,,,
case_056,2,277285,243718,1.137728850556791,207102,local1_fixed_16_move_468_1_218,65.665,,,,,,,
case_056,3,277285,245013,1.1317154599960002,282300,fixed_16,63.446,,,,,,,
case_056,4,277285,244131,1.1358041379423343,384936,local1_fixed_16_move_468_0_150,64.808,,,,,,,
case_056,5,277285,245173,1.1309769020242848,311334,fixed_16,64.832,,,,,,,
case_057,2,59726,42570,1.403006812309138,590690,fixed_1,6.041,,,,,,,
case_057,3,59726,35627,1.6764251831476127,888864,local1_fixed_1_swap_0_17,7.215,,,,,,,
case_057,4,59726,42977,1.3897200828350047,1168840,fixed_1,7.683,,,,,,,
case_057,5,59726,43503,1.3729168103349194,1356520,local1_fixed_1_swap_0_17,8.257,,,,,,,
case_058,2,4539717,2273222,1.9970407641664563,60686336,local1_fixed_16_move_9_0_0,308.246,,,,,,,
case_058,3,4539717,1598885,2.8393017634163806,66191360,local1_fixed_16_move_13_2_0,304.494,,,,,,,
case_058,4,4539717,1370747,3.311856236052313,67870720,local1_fixed_16_move_17_2_0,288.354,,,,,,,
case_058,5,4539717,1089907,4.165233363947566,31735808,local1_a_selected_move_4_1_0,273.86,,,,,,,
case_059,2,829473,369318,2.2459587672412393,360448,fixed_2,21.366,,,,,,,
case_059,3,829473,264654,3.1341789657439523,3080192,local1_fixed_2_move_129_2_0,23.353,,,,,,,
case_059,4,829473,185216,4.478408992743607,1081344,fixed_2,22.8,,,,,,,
case_059,5,829473,164161,5.052801822600983,4124672,local1_fixed_2_move_215_3_0,25.311,,,,,,,
case_060,2,888789,481316,1.8465810403144711,6568276,local1_fixed_16_move_171_1_0,56.607,,,,,,,
case_060,3,888789,354366,2.508110258884882,8084852,local1_fixed_16_split_93_1,57.228,,,,,,,
case_060,4,888789,310016,2.8669133206028077,8444360,local1_fixed_16_move_123_3_0,59.426,,,,,,,
case_060,5,888789,269460,3.2984079269650413,9330132,local1_fixed_16_move_93_2_19,61.582,,,,,,,
case_061,2,77191,55761,1.3843187891178421,501564,local1_fixed_2_move_8_1_0,9.309,,,,,,,
case_061,3,77191,44275,1.7434443817052512,160904,local1_a_selected_move_3_2_0,8.597,,,,,,,
case_061,4,77191,35693,2.16263693161124,135340,local1_a_selected_move_6_3_0,9.093,,,,,,,
case_061,5,77191,35523,2.1729865157785095,217596,local1_a_selected_move_2_3_0,9.318,,,,,,,
case_062,2,2854809,1564275,1.8250045548257179,11046912,fixed_384,376.476,,,,,,,
case_062,3,2854809,1071447,2.664442571587769,10063872,a_selected,332.331,,,,,,,
case_062,4,2854809,818747,3.4868023943904527,10423296,local1_fixed_192_move_11_1_0,325.747,,,,,,,
case_062,5,2854809,697244,4.094418883489855,10297344,local1_fixed_48_move_1_3_0,298.523,,,,,,,
case_063,2,1070397,571813,1.8719354054559796,3308544,local1_fixed_16_move_11_0_0,90.194,,,,,,,
case_063,3,1070397,395565,2.7059952220241934,3271680,local1_fixed_48_move_0_1_0,79.731,,,,,,,
case_063,4,1070397,303504,3.5267970109125417,3213312,a_selected,77.368,,,,,,,
case_063,5,1070397,254085,4.212751638231301,3502080,fixed_48,75.289,,,,,,,
case_064,2,19116,13595,1.4061051857300477,74726,local1_fixed_2_swap_0_12,5.211,,,,,,,
case_064,3,19116,12055,1.5857320613853172,102796,local1_fixed_2_swap_0_0,5.842,,,,,,,
case_064,4,19116,10325,1.8514285714285714,128050,local1_fixed_2_swap_0_0,5.127,,,,,,,
case_064,5,19116,10905,1.7529573590096286,141048,fixed_2,5.874,,,,,,,
case_065,2,53068,26789,1.9809623352868715,63160,local1_fixed_24_move_2_1_4,5.032,,,,,,,
case_065,3,53068,20106,2.6394111210583904,63172,local1_a_selected_merge_0_3,4.678,,,,,,,
case_065,4,53068,15989,3.3190318343861405,63180,a_selected,5.242,,,,,,,
case_065,5,53068,14900,3.5616107382550335,150736,local1_a_selected_move_14_2_0,5.639,,,,,,,
case_066,2,359070,256499,1.3998884985906377,1416426,local1_fixed_4_move_1190_1_212,53.238,,,,,,,
case_066,3,359070,244504,1.4685649314530642,1862908,fixed_4,49.885,,,,,,,
case_066,4,359070,236499,1.5182728045361713,2036246,fixed_4,49.717,,,,,,,
case_066,5,359070,234918,1.5284907925318623,2174164,fixed_4,48.862,,,,,,,
case_067,2,63834834,32277590,1.977682782388648,267734912,local1_a_selected_move_0_1_0,106.967,,,,,,,
case_067,3,63834834,21617310,2.952949927627443,266690176,local1_a_selected_split_0_1,105.908,,,,,,,
case_067,4,63834834,17181697,3.7152810924322552,267706880,local1_a_selected_move_31_0_0,105.416,,,,,,,
case_067,5,63834834,15905614,4.013352392432005,262815616,local1_fixed_1_move_4_1_0,110.312,,,,,,,
case_068,2,362095,233160,1.5529893635271916,1586610,fixed_4,46.543,,,,,,,
case_068,3,362095,217573,1.6642460231738314,2124670,fixed_4,48.842,,,,,,,
case_068,4,362095,209137,1.731377039930763,2381762,fixed_4,48.638,,,,,,,
case_068,5,362095,206539,1.753155578365345,2424874,fixed_4,47.461,,,,,,,
case_069,2,25144,15648,1.6068507157464214,203110,local1_fixed_4_split_18_1,6.135,,,,,,,
case_069,3,25144,15264,1.6472746331236898,297868,local1_fixed_4_split_17_1,6.616,,,,,,,
case_069,4,25144,14938,1.6832239925023431,340594,local1_fixed_4_move_125_3_19,7.33,,,,,,,
case_069,5,25144,15165,1.6580283547642598,388980,local1_fixed_4_merge_243_244,8.004,,,,,,,
case_070,2,117300,67230,1.7447568049977689,240532,local1_a_selected_move_0_1_0,7.726,,,,,,,
case_070,3,117300,44631,2.628218054715332,369412,local1_fixed_4_merge_14_15,9.939,,,,,,,
