case,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,selected_source,total_seconds,paired_no_l2_makespan,paired_with_l2_makespan,paired_no_l2_added_copy_bytes,paired_with_l2_added_copy_bytes,paired_l2_speedup,paired_cache_hit_rate,cache_hit_rate
case_027,2,2363952,1117733,2.1149523186664436,2506752,1105920,1400832,round1_polish_seed_reference_fixed_2_placement_swap_0_0,0.094,,,,,,,
case_027,3,2363952,793160,2.980422613344092,26050560,26050560,0,round1_structure_chains_8_merge_0_3,0.125,,,,,,,
case_027,4,2363952,559196,4.227412213249022,1843200,,,fixed_2,0.109,,,,,,,
case_028,5,43836040,8330567,5.262071597287435,95330304,93229056,2101248,round4_round3_round2_round1_structure_chains_8_boundary_57_153_boundary_63_306_tensorlocal_1000000615_1_boundary_171_7191,0.907,,,,,,,
case_028,2,43836040,20498027,2.1385492369582693,80007216,57340464,22666752,round2_round1_structure_chains_8_move_154_1_1_boundary_57_153,0.907,,,,,,,
case_028,3,43836040,13656037,3.2100118064999386,44423856,18397872,26025984,round4_round3_round2_round1_structure_chains_8_move_154_0_0_boundary_186_154_tensorlocal_1000000121_1_critical_order,0.922,,,,,,,
case_028,4,43836040,10353785,4.233817874332913,94417632,91112160,3305472,round5_round4_round3_round2_round1_structure_chains_8_boundary_57_153_boundary_61_306_tensorlocal_1000000241_3_boundary_68_612_placement,0.907,,,,,,,
case_029,5,37555,8510,4.413043478260869,16388,16388,0,round2_round1_structure_components_total_move_10_1_0_worksplit_11_0_4,0.094,,,,,,,
case_029,2,37555,18867,1.9905125351142205,16388,16388,0,round1_structure_components_total_worksplit_18_1_10,0.078,,,,,,,
case_029,3,37555,12743,2.9471082162756024,0,0,0,round1_seed_reference_a_affinity_64_bundle_3_split_0_1,0.078,,,,,,,
case_029,4,37555,10155,3.6981782373215166,16388,16388,0,round2_round1_structure_components_total_move_8_1_0_worksplit_13_0_5,0.078,,,,,,,
case_030,5,2808034,559921,5.015053909390789,8736768,7463936,1272832,round1_structure_components_pipe_memory_order,0.422,,,,,,,
case_030,2,2808034,1398652,2.007671672438891,4982784,1950720,3032064,round3_round2_round1_structure_affinity_64_bundle_0_memory_order_merge_12_485_merge_483_12,0.437,,,,,,,
case_030,3,2808034,931982,3.0129702075791163,6214656,3942400,2272256,round5_round3_round2_round1_structure_affinity_64_bundle_0_memory_order_merge_0_58_merge_0_6_worksplit_480_2_162,0.437,,,,,,,
case_030,4,2808034,697957,4.023219195451869,6796288,5795840,1000448,round3_round2_round1_structure_components_total_memory_order_worksplit_485_0_120_worksplit_486_3_122,0.437,,,,,,,
case_031,5,1414369,304971,4.63771637303219,7528704,6143232,1385472,round4_round3_round2_round1_structure_components_pipe_split_0_1_move_12_3_0_move_10_1_0_worksplit_77_3_18,0.266,,,,,,,
case_031,2,1414369,718136,1.9695002060890974,5712502,1937526,3774976,round1_structure_affinity_4096_bundle_0_merge_101_103,0.266,,,,,,,
case_031,3,1414369,483830,2.9232767707665914,3462144,3462144,0,round4_round1_structure_components_pipe_memory_order_merge_105_0,0.266,,,,,,,
case_031,4,1414369,372537,3.7965866477692147,7736336,5100560,2635776,round3_round1_polish_seed_reference_a_affinity_64_bundle_0_placement_boundary_6587_17_boundary_6556_108,0.281,,,,,,,
case_032,5,41443,10316,4.017351686700271,26112,26112,0,round6_round5_round2_round1_structure_components_pipe_tensorlocal_1227_2_swap_2_0_worksplit_22_4_5_memory_order,0.094,,,,,,,
case_032,2,41443,17515,2.366143305737939,243744,243744,0,round2_round1_structure_affinity_4096_bundle_2_tensorlocal_225_1_tensorlocal_243_1,0.079,,,,,,,
case_032,3,41443,11888,3.486120457604307,12360,12360,0,round1_structure_components_total_move_8_2_4,0.062,,,,,,,
case_032,4,41443,10362,3.999517467670334,12288,12288,0,round2_round1_structure_affinity_64_bundle_0_tensorlocal_1227_1_swap_0_0,0.078,,,,,,,
case_033,5,1774196,353755,5.01532416502947,7854240,6548128,1306112,round3_round1_polish_seed_reference_a_affinity_64_bundle_5_placement_merge_14_19_boundary_8081_6,0.172,,,,,,,
case_033,2,1774196,886519,2.0013062325793354,6335776,2228512,4107264,round3_round2_round1_structure_affinity_4096_bundle_2_worksplit_74_0_72_boundary_7259_183_boundary_7315_74,0.172,,,,,,,
case_033,3,1774196,591452,2.999729479315312,7319660,4229228,3090432,round3_round2_round1_structure_affinity_64_bundle_0_split_16_1_boundary_8066_92_boundary_8077_96,0.188,,,,,,,
case_033,4,1774196,443053,4.004478019559737,7272060,5318268,1953792,round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_4_swap_1_0_move_17_3_4_merge_12_13_boundary_8081_5,0.188,,,,,,,
case_034,5,842996,159947,5.2704708434668985,3479552,3479552,0,round4_round3_round2_round1_structure_components_pipe_placement_worksplit_138_3_32_boundary_2651_155_boundary_2659_155,0.203,,,,,,,
case_034,2,842996,405609,2.0783463877773913,1353216,1263104,90112,round4_round3_round2_round1_structure_components_total_critical_order_worksplit_138_0_81_worksplit_138_0_81_worksplit_136_0_83,0.187,,,,,,,
case_034,3,842996,265023,3.180840908147595,2298880,2298880,0,round2_round1_structure_components_pipe_placement_move_2_2_25,0.204,,,,,,,
case_034,4,842996,202491,4.163128237798223,2882048,2882048,0,round1_structure_components_pipe_placement,0.203,,,,,,,
case_035,5,169571,79311,2.1380514682704796,2150952,2150952,0,round5_round2_round1_structure_chains_8_move_1552_2_0_swap_0_10_boundary_1368_92,0.235,,,,,,,
case_035,2,169571,95309,1.7791709072595452,0,0,0,round1_polish_seed_reference_components_total_memory_order_split_0_1,0.188,,,,,,,
case_035,3,169571,95309,1.7791709072595452,13320,13320,0,round4_round3_round2_round1_polish_seed_reference_components_total_critical_order_split_0_1_worksplit_15_1_0_boundary_7597_17_boundary_7603_17,0.188,,,,,,,
case_035,4,169571,94323,1.7977693669624588,1914394,1914394,0,round1_structure_chains_32_swap_0_100,0.25,,,,,,,
case_036,5,931510,187182,4.976493466252097,4608,,,a_selected,0.171,,,,,,,
case_036,2,931510,466068,1.998656848356892,1152,,,a_selected,0.156,,,,,,,
case_036,3,931510,311345,2.991890025534375,2304,,,fixed_1,0.157,,,,,,,
case_036,4,931510,233584,3.987901568600589,3456,,,fixed_1,0.156,,,,,,,
case_037,5,210001,43800,4.794543378995434,1925120,1925120,0,round1_seed_reference_a_affinity_64_bundle_5_split_0_1,0.094,,,,,,,
case_037,2,210001,105374,1.992910964754114,204800,204800,0,round1_seed_reference_a_affinity_64_bundle_2_split_0_1,0.062,,,,,,,
case_037,3,210001,73405,2.860854165247599,2033664,2033664,0,round4_round3_round2_round1_seed_reference_local1_fixed_8_move_5_0_0_boundary_205_1_boundary_206_1_boundary_208_1_swap_0_0,0.078,,,,,,,
case_037,4,210001,53320,3.938503375843961,614400,614400,0,round1_seed_reference_a_affinity_64_bundle_4_split_0_1,0.078,,,,,,,
case_038,5,1364555,274469,4.971617924064284,9742848,8567808,1175040,round1_seed_reference_a_affinity_64_bundle_5_split_1_2,0.25,,,,,,,
case_038,2,1364555,674679,2.022524785861128,3187200,2517504,669696,round1_structure_affinity_64_bundle_0_memory_order,0.266,,,,,,,
case_038,3,1364555,448480,3.042621744559401,5036544,4979712,56832,round3_round2_round1_structure_affinity_64_bundle_0_memory_order_worksplit_71_1_44_boundary_6178_130,0.25,,,,,,,
case_038,4,1364555,337806,4.039463479038265,9166848,6514176,2652672,round1_seed_reference_a_affinity_64_bundle_4_split_0_2,0.266,,,,,,,
case_039,5,1435262,335425,4.27893567861668,11079680,,,local1_fixed_48_move_3_4_0,0.219,,,,,,,
case_039,2,1435262,707147,2.029651543455604,11067392,4202496,6864896,round1_structure_components_total_swap_0_1,0.235,,,,,,,
case_039,3,1435262,475639,3.0175448186544838,11227136,8519680,2707456,round5_round4_round3_round2_round1_structure_components_total_memory_order_worksplit_60_2_23_boundary_5148_70_worksplit_60_1_11_worksplit_60_2_0,0.235,,,,,,,
case_039,4,1435262,380519,3.7718537050712317,13983744,12926976,1056768,round4_round3_round2_round1_structure_components_total_memory_order_worksplit_48_3_17_boundary_4248_70_worksplit_53_0_18,0.25,,,,,,,
case_040,5,253454,101742,2.4911442668711055,927512,927512,0,round5_round4_round3_round2_round1_structure_affinity_4096_bundle_5_split_81_2_split_258_1_split_259_1_tensorlocal_5950_1_worksplit_259_3_29,0.172,,,,,,,
case_040,2,253454,135156,1.875270058302998,229504,229504,0,round4_round3_round2_round1_seed_reference_a_affinity_64_bundle_2_split_0_1_split_20_1_split_21_1_split_22_1,0.141,,,,,,,
case_040,3,253454,109167,2.3217089413467438,0,0,0,round2_round1_structure_components_total_split_1_1_split_28_1,0.156,,,,,,,
case_040,4,253454,103314,2.453239638383956,902770,902770,0,round5_round4_round3_round2_round1_structure_affinity_4096_bundle_4_swap_0_10_split_81_2_split_234_1_tensorlocal_5944_3_swap_0_10,0.172,,,,,,,
case_041,5,6003957,1195827,5.020757183104245,28809216,18683904,10125312,round1_structure_affinity_64_bundle_0_memory_order,0.656,,,,,,,
case_041,2,6003957,2972391,2.019908215305456,17896448,4910080,12986368,round4_round3_round2_round1_structure_components_total_memory_order_worksplit_490_1_247_boundary_15901_494_worksplit_490_1_0,0.688,,,,,,,
case_041,3,6003957,1984924,3.0247792862598266,24548352,9836544,14711808,round4_round3_round2_round1_structure_affinity_64_bundle_0_memory_order_worksplit_493_2_163_worksplit_494_0_166_worksplit_493_1_82,0.671,,,,,,,
case_041,4,6003957,1493851,4.019113686706372,26072064,14349312,11722752,round3_round2_round1_structure_components_total_memory_order_merge_0_150_merge_0_156,0.703,,,,,,,
case_042,5,1686740,347330,4.856303803299456,10274872,7374904,2899968,round4_round3_round2_round1_structure_affinity_64_bundle_0_tensorlocal_1000005220_0_boundary_4780_2_tensorlocal_1000005222_2_tensorlocal_1000005208_1,0.25,,,,,,,
case_042,2,1686740,834295,2.0217548948513415,7593360,2216336,5377024,round3_round2_round1_seed_reference_a_affinity_64_bundle_2_swap_0_3_split_8_2_split_22_1,0.234,,,,,,,
case_042,3,1686740,568336,2.967857042312998,9014996,4317908,4697088,round2_round1_polish_seed_reference_a_affinity_64_bundle_3_placement_split_8_1_swap_0_5,0.234,,,,,,,
